Part Number,Vos TC (max),Ios (max),BW -3 dB (typ),Ibias (typ),CMRR (min),0.1 to 10 Hz VNoise (typ),1 Hz Vnoise (typ),1 Hz Inoise (typ),Current Noise Density (typ),# of Amps,GBP (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Iq/Amp (typ),Vs span (min),Vs span (max),Package
,V/°C,A,Hz,A,dB,V p-p,V/rtHz,A/rtHz,A/rtHz,,Hz,V/us,V,V/rtHz,A,A,V,V,
ADA4899-1,,0.0000007,600000000,0.0000001,98,,0.000000029,0.00000000041,0.0000000000052,1,280000000,310,0.00023,0.000000001,0.000001,0.0147,4.5,12,8-Lead LFCSP (3mm x 3mm w/ EP) 8-Lead SOIC w/ EP
LT6001,0.000005,0.000000001,,0.000000002,90,,0.00000009,0.00000000000042,0.000000000000025,2,50000,0.015,0.0006,0.000000075,0.000000005,0.000013,1.8,18,8-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
LT6002,0.000005,0.000000001,,0.000000002,90,,0.00000009,0.00000000000042,0.000000000000025,4,50000,0.015,0.00075,0.000000075,0.000000005,0.000013,1.8,18,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
RH1814M,,,,,75,,,,0.000000000001,4,100000000,750,0.0015,0.000000008,,0.0036,2.5,12.6,14-Lead Flatpak (Hermetic) CHIPS OR DIE
AD8656,,0.00000000001,,0.000000000001,85,,0.000000094,,0.000000000000001,2,28000000,11,0.00025,0.0000000027,0.00000000001,0.0045,2.7,5.5,8-Lead SOIC 8-Lead MSOP
ADA4841-1,,0.0000005,80000000,0.000003,95,,0.00000002,0.000000000038,0.0000000000014,1,35000000,13,0.0003,0.0000000021,0.0000053,0.0012,2.7,12,8-Lead SOIC 6-Lead SOT-23
ADA4862-3,,,720000000,0.0000006,,,,,0.0000000000014,3,,830,0.025,0.0000000106,0.000001,0.016,5,12,14-Lead SOIC
LT6556,,,,,,,,,0.0000000000035,3,750000000,2100,0.067,0.000000011,,0.0095,4.5,12.6,24-Lead SSOP (Narrow 0.15 Inch) 24-Lead QFN (4mm x 4mm x 0.75mm w/ EP)
LTC6078,0.0000007,,,0.0000000000002,95,0.000001,0.000000071,,0.00000000000000056,2,750000,0.05,0.000025,0.000000018,0.000000000001,0.000054,2.7,5.5,8-Lead MSOP 10-Lead DFN (3mm x 3mm w/ EP)
LTC6079,0.0000014,,,0.0000000000002,95,0.000001,0.000000071,,0.00000000000000056,4,750000,0.05,0.000025,0.000000018,0.000000000001,0.000054,2.7,5.5,16-Lead SSOP (Narrow 0.15 Inch) 16-Lead DFN (5mm x 3mm w/ EP)
