Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
LT1886,2p,4,2,700M,,200,4m,6n,4µ,,7m,4,13.2,$5.05500 (LT1886CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1886CS8#TRPBF),8-Lead SOIC (Narrow 0.15 Inch)
MAX4076,1.1f,1300,1,,230k,90m,3.5m,110n,200p,Output Only,45µ,2.5,5.5,$1.72000 (MAX4076EUK+T),9mm² (5-SOT_23-N/A) (MAX4076EUK+),5-SOT_23-N/A
MAX4077,1.1f,1900,2,,230k,90m,3.5m,110n,200p,Output Only,45µ,2.5,5.5,$1.99000 (MAX4077EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4077EUA+)","Micro-MAX, Thin Shrink Small-Outline"
MAX4078,1.1f,6997,4,,230k,90m,3.5m,110n,200p,Output Only,45µ,2.5,5.5,$2.74000 (MAX4078ESD+T),33.405mm² (Thin Shrink Small-Outline Package) (MAX4078EUD+T),"Small-Outline IC, Narrow (0.15in),Thin Shrink Small-Outline Package"
AD8016,18p,7,2,,380M,1k,3m,2.6n,75µ,,12.5m,6,26,$9.27000 (AD8016AREZ-REEL7),62.72mm² (28-Lead TSSOP w/ EP) (AD8016AREZ-REEL7),28-Lead TSSOP w/ EP
LT1792,10f,714,1,5.6M,,3.4,600µ,4.2n,800p,,4.2m,10,40,$4.15500 (LT1792CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1792AIS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1793,800a,1609,1,4.2M,,3.4,800µ,6n,10p,,4.2m,10,40,$3.61500 (LT1793CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1793ACS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1795,2p,46,2,,65M,900,13m,3.6n,,,29m,10,36,$9.33000 (LT1795CSW#PBF),42.24mm² (20-Lead TSSOP w/ EP) (LT1795CFE#PBF),"20-Lead SOIC (Wide 0.3 Inch),20-Lead TSSOP w/ EP"
LT1813,1p,54,2,100M,,750,1.5m,8n,4µ,,3m,2.5,12.6,$1.68000 (LT1813DS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1813CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1813HV,1p,54,2,100M,,750,1.5m,8n,4µ,,3m,2.5,13.5,$1.68000 (LT1813DS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1813CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
MAX406,,37066,1,,4k,5m,500µ,150n,10p,Output Only,1µ,2.5,10,$3.09000 (MAX406BCSA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX406BCSA+T)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX407,,18791,2,,8k,5m,3m,150n,10p,Output Only,1µ,2.5,10,$5.31000 (MAX407CSA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX407CSA+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX409,,29232,1,,150k,80m,500µ,150n,10p,Output Only,1µ,2.5,10,$4.46000 (MAX409BESA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX409BCSA+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX410,1.2p,48817,1,,28M,4.5,250µ,1.5n,150n,,2.5m,2.4,10.5,$3.04000 (MAX410BCSA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX410BCSA+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX412,1.2p,13364,2,,28M,4.5,250µ,1.5n,150n,,2.5m,2.4,10.5,$2.47000 (MAX412BCSA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX412BCSA+T)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX417,,4031,2,,150k,80m,3m,150n,10p,Output Only,1µ,2.5,10,$6.83000 (MAX417ESA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX417ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4450,1.8p,4797,1,,210M,485,26m,10n,20µ,Output,6.5m,4.5,11,$1.50000 (MAX4450EUK+T),5.28mm² (5-SC70-N/A) (MAX4450EXK+),"Small-Outline Transistor Package,5-SC70-N/A"
MAX4490,1f,9,1,,10M,10,10m,12n,2.5n,Both,800µ,2.7,5.5,$1.01000 (MAX4490AUK+T),5.28mm² (5-SC70-N/A) (MAX4490AXK+),"5-SOT_23-N/A,5-SC70-N/A"
MAX492,100f,21997,2,,500k,200m,500µ,25n,60n,Both,150µ,2.7,6,$4.96000 (MAX492CSA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX492CSA+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX494,100f,18576,4,,500k,200m,500µ,25n,60n,Both,150µ,2.7,6,$5.39000 (MAX494CSD+T),"54.25mm² (Small-Outline IC, Narrow (0.15in)) (MAX494CSD+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
RH1498M,,,2,10M,,6,800µ,12n,250n,Both,1.8m,4.5,36,,54.1782mm² (10-Lead Flatpak (Glass Sealed Hermetic)) (5962R1325001VHA),"10-Lead Flatpak (Glass Sealed Hermetic),CHIPS OR DIE"
RH1499M,,,4,10M,,6,800µ,12n,250n,Both,1.8m,4.5,36,,78.3336mm² (14-Lead Flatpak (Hermetic)) (5962R1325101VDA),14-Lead Flatpak (Hermetic)
AD8529,400f,5595,2,8M,,2.9,1m,10n,300n,"In to V-, Output",1.2m,2.7,12,$2.19000 (AD8529ARMZ-REEL),31mm² (8-Lead SOIC) (AD8529ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
AD8591,50f,17715,1,3M,,5,25m,30n,50p,Both,1.25m,2.5,6,$0.55650 (AD8591ARTZ-REEL7),9mm² (6-Lead SOT-23) (AD8591ARTZ-REEL7),6-Lead SOT-23
LT1398,6p,0,2,,300M,800,12m,4.5n,,,4.6m,3,12.6,$4.27500 (LT1398CS#TRPBF),61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1398CS#PBF),16-Lead SOIC (Narrow 0.15 Inch)
LT1812,1p,78,1,100M,,750,1.5m,8n,4µ,,3m,2.5,12.6,$1.66500 (LT1812CS5#TRMPBF),8.12mm² (5-Lead TSOT-23) (LT1812IS5#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),5-Lead TSOT-23,6-Lead TSOT-23"
MAX4281,4f,,1,,2M,700m,2m,90n,10n,Output Only,300µ,2.5,5.5,$1.42000 (MAX4281EUK+T),9mm² (Small-Outline Transistor Package) (MAX4281EUK+),Small-Outline Transistor Package
MAX4282,4f,5451,2,,2M,700m,2m,90n,10n,Output Only,300µ,2.5,5.5,$2.00000 (MAX4282EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4282EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
AD8014,5p,1957,1,,480M,4.6k,5m,3.5n,15µ,,1.15m,4.5,12,$2.11500 (AD8014ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8014ARTZ-REEL7),"8-Lead SOIC,5-Lead SOT-23"
AD8017,23p,566,2,,160M,1.6k,3m,1.9n,45µ,,7m,4.4,12,$4.15500 (AD8017ARZ),31mm² (8-Lead SOIC) (AD8017ARZ-REEL),8-Lead SOIC
AD8519,400f,19489,1,8M,,2.9,1m,10n,300n,"In to V-, Output",1.2m,2.7,12,$1.51500 (AD8519ARTZ-REEL7),5.28mm² (5-Lead SC70) (AD8519AKSZ-REEL7),"5-Lead SC70,5-Lead SOT-23"
AD8541,100f,28493,1,1M,,920m,6m,38n,60p,Both,65µ,2.5,5,$0.46110 (AD8541ARTZ-REEL),5.28mm² (5-Lead SC70) (AD8541AKSZ-REEL7),"5-Lead SC70,8-Lead SOIC,5-Lead SOT-23"
AD8542,100f,25097,2,1M,,920m,6m,38n,60p,Both,65µ,2.5,5,$0.65190 (AD8542ARUZ-REEL),19.84mm² (8-Lead TSSOP) (AD8542ARUZ),"8-Lead SOIC,8-Lead MSOP,8-Lead TSSOP"
AD8544,100f,2135,4,1M,,920m,6m,38n,60p,Both,65µ,2.5,5,$1.02979 (AD8544ARUZ-REEL),32.64mm² (14-Lead TSSOP) (AD8544ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8592,50f,746,2,3M,,5,25m,30n,50p,Both,1.25m,2.5,6,$0.76320 (AD8592ARMZ-REEL),15.965mm² (10-Lead MSOP) (AD8592ARMZ-REEL),10-Lead MSOP
LT1468,600f,194,1,90M,,22,75µ,5n,40n,,3.6m,6,36,$4.74000 (LT1468CN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1468AIDD#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
AD8057,700f,1179,1,100M,325M,1.15k,5m,7n,2.5µ,,7.5m,3,12,$1.53000 (AD8057ARTZ-REEL),9mm² (5-Lead SOT-23) (AD8057ARTZ-REEL7),"8-Lead SOIC,5-Lead SOT-23,CHIPS OR DIE"
AD8058,700f,9806,2,100M,325M,1.15k,5m,7n,2.5µ,,7.5m,3,12,$2.79000 (AD8058ARZ),31mm² (8-Lead SOIC) (AD8058ARZ),"8-Lead SOIC,8-Lead MSOP,CHIPS OR DIE"
LT1636,35f,221,1,200k,,70m,225µ,52n,8n,Both,42µ,2.6,44,$2.68500 (LT1636CN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1636CDD#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1638,300f,5138,2,1.2M,,380m,700µ,20n,50n,Both,170µ,2.5,44,$3.60000 (LT1638CN8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT1638CDD#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT1639,300f,112,4,1.075M,,380m,600µ,20n,,Both,170µ,2.5,44,$6.10500 (LT1639CN#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1639CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LTC1542,,59,2,12k,,8,700µ,,1n,"In to V-, Output",5µ,2.5,12.6,$2.58000 (LTC1542CMS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC1542IDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
MAX4040,50f,52370,1,,90k,40m,1.5m,70n,10n,Both,12µ,2.4,5.5,$0.97000 (MAX4040EUA+),9mm² (Small-Outline Transistor Package) (MAX4040EUK+),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package,Micro-MAX, Thin Shrink Small-Outline"
MAX4041,50f,962,1,,90k,40m,1.5m,70n,10n,Both,12µ,2.4,5.5,$1.14000 (MAX4041ESA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4041ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4042,50f,8453,2,,90k,40m,1.5m,70n,10n,Both,12µ,2.4,5.5,$1.42000 (MAX4042ESA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4042EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4043,50f,4195,2,,90k,40m,1.5m,70n,10n,Both,12µ,2.4,5.5,$1.43000 (MAX4043EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4043EUB+),10-MINI_SO-N/A
MAX4322,400f,9139,1,,5M,2,2.5m,22n,150n,Both,730µ,2.4,6.5,$0.86000 (MAX4322EUK+T),9mm² (5-SOT_23-N/A) (MAX4322EUK+T),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A,Micro-MAX, Thin Shrink Small-Outline"
MAX4323,400f,22841,1,,5M,2,2.5m,22n,150n,Both,730µ,2.4,6.5,$1.14000 (MAX4323ESA+),9mm² (6-SOT_23-N/A) (MAX4323EUT+T),"Small-Outline IC, Narrow (0.15in),6-SOT_23-N/A"
MAX4326,400f,7450,2,,5M,2,2.5m,22n,150n,Both,730µ,2.4,6.5,$1.43000 (MAX4326EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4326EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4327,400f,,2,,5M,2,2m,22n,150n,Both,730µ,2.4,6.5,$1.40000 (MAX4327EUB+T),15.4025mm² (10-MINI_SO-N/A) (MAX4327EUB+),10-MINI_SO-N/A
LT1630,900f,843,2,30M,,9.2,525µ,6n,1µ,Both,3.5m,2.6,36,$5.07000 (LT1630CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1630HS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1631,900f,0,4,30M,,9.2,525µ,6n,1µ,Both,3.5m,2.6,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1631IS#PBF),14-Lead SOIC (Narrow 0.15 Inch)
LT1632,1.6p,19336,2,45M,,27,1.35m,12n,2.2µ,Both,4.3m,2.6,36,$5.64000 (LT1632CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1632CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1633,1.6p,0,4,45M,,27,1.35m,12n,2.2µ,Both,4.3m,2.6,36,,54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1633CS#TRPBF),14-Lead SOIC (Narrow 0.15 Inch)
MAX4240,50f,,1,,90k,40m,1.4m,70n,6n,Both,14µ,1.8,5.5,$1.84000 (MAX4240EUK+T),9mm² (Small-Outline Transistor Package) (MAX4240EUK+T),Small-Outline Transistor Package
MAX4241,50f,9440,1,,90k,40m,750µ,70n,6n,Both,14µ,1.8,5.5,$1.67000 (MAX4241ESA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4241EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4242,50f,10283,2,,90k,40m,880µ,70n,6n,Both,14µ,1.8,5.5,$2.39000 (MAX4242ESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4242EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4243,50f,2527,2,,90k,40m,880µ,70n,6n,Both,14µ,1.8,5.5,$2.54000 (MAX4243EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4243EUB+),10-MINI_SO-N/A
MAX4252,500a,12618,2,,3M,300m,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.13000 (MAX4252EBL+T),2.7225mm² (9-WLCSP-N/A) (MAX4252EBL+T),"9-WLCSP-N/A,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4253,500a,15765,2,,3M,300m,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.95000 (MAX4253EUB+T),3.2913mm² (12-WLCSP-N/A) (MAX4253EBC+T),"12-WLCSP-N/A,10-MINI_SO-N/A"
LT1399,6p,145,3,,300M,800,12m,4.5n,,,4.6m,3,12.6,$4.63500 (LT1399CS#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT1399CGN#PBF),"16-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
LT1399HV,6p,145,3,,300M,800,12m,4.5n,,,4.6m,3,15.5,$4.63500 (LT1399CS#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT1399CGN#PBF),"16-Lead SOIC (Narrow 0.15 Inch),16-Lead SSOP (Narrow 0.15 Inch)"
MAX4104,3.2p,2500,1,,625M,400,6m,2.1n,70µ,,20m,7,11,$2.93000 (MAX4104ESA+),9mm² (Small-Outline Transistor Package) (MAX4104EUK+),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package"
MAX4105,3.2p,51004,1,,410M,1.4k,6m,2.1n,70µ,,20m,7,11,$2.93000 (MAX4105EUK+T),9mm² (Small-Outline Transistor Package) (MAX4105EUK+),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package"
MAX4249,500a,14099,2,,22M,2.1,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.51000 (MAX4249EUB+T),15.4025mm² (10-MINI_SO-N/A) (MAX4249EUB+),"Small-Outline IC, Narrow (0.15in),10-MINI_SO-N/A"
MAX4257,500a,4104,2,,22M,2.1,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.37000 (MAX4257EUA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4257EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4304,3.2p,18681,1,,740M,1k,6m,2.1n,70µ,,20m,7,11,$4.00000 (MAX4304ESA+),9mm² (Small-Outline Transistor Package) (MAX4304EUK+),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package"
MAX4305,3.2p,13256,1,,340M,1.4k,6m,2.1n,70µ,,20m,7,11,$2.90000 (MAX4305ESA+),9mm² (Small-Outline Transistor Package) (MAX4305EUK+T),"Small-Outline IC, Narrow (0.15in),Small-Outline Transistor Package"
AD8010,20p,51,1,,230M,800,12m,2n,135µ,,15.5m,9,12,$5.28000 (AD8010ARZ),31mm² (8-Lead SOIC) (AD8010ARZ),"8-Lead PDIP,8-Lead SOIC,16 ld SOIC"
AD8012,15p,540,2,,350M,2.25k,4m,2.5n,12µ,,1.7m,3,12,$4.05000 (AD8012ARMZ),31mm² (8-Lead SOIC) (AD8012ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8051,900f,22377,1,80M,110M,170,10m,16n,2.5µ,"In to V-, Output",4.8m,3,12,$1.62000 (AD8051ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8051ARTZ-REEL),"8-Lead SOIC,5-Lead SOT-23"
AD8052,900f,20537,2,80M,110M,170,10m,16n,2.5µ,"In to V-, Output",4.8m,3,12,$3.07500 (AD8052ARMZ-REEL7),31mm² (8-Lead SOIC) (AD8052ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8054,850f,1522,4,90M,160M,145,12m,16n,4.5µ,"In to V-, Output",3.4m,3,12,$4.99500 (AD8054ARZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8054ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD825,10f,14269,1,26M,46M,140,2m,12n,40p,,6.5m,10,36,$3.18000 (AD825ARZ-REEL),31mm² (8-Lead SOIC) (AD825ARZ),"8-Lead SOIC,16 ld SOIC,CHIPS OR DIE"
LTC1541,,0,2,12k,,,700µ,,1n,"In to V-, Output",5µ,2.5,12.6,$2.85000 (LTC1541CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC1541IDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP),CHIPS OR DIE"
MAX4250,500a,1304,1,,3M,300m,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.54000 (MAX4250EUK+T),9mm² (Small-Outline Transistor Package) (MAX4250AAUK+),Small-Outline Transistor Package
MAX4251,500a,30150,1,,3M,300m,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.38000 (MAX4251ESA+T),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4251EUA+)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4255,500a,1030,1,,22M,2.1,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$1.04000 (MAX4255EUK+T),9mm² (Small-Outline Transistor Package) (MAX4255EUK+),Small-Outline Transistor Package
MAX4256,500a,50137,1,,22M,2.1,750µ,8.9n,100p,Output Only,420µ,2.4,5.5,$0.98000 (MAX4256ESA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4256ESA+)","Small-Outline IC, Narrow (0.15in)"
AD8023,14p,22,3,,125M,1.2k,5m,2n,45µ,,6.2m,4.2,15,$9.70500 (AD8023ARZ),54.25mm² (14-Lead SOIC) (AD8023ARZ),"14-Lead SOIC,CHIPS OR DIE"
AD8055,1p,34432,1,300M,300M,1.4k,5m,6n,1.2µ,,6.5m,8,12,$1.59000 (AD8055ARTZ-REEL7),9mm² (5-Lead SOT-23) (AD8055ARTZ-REEL7),"8-Lead PDIP,8-Lead SOIC,5-Lead SOT-23"
AD8056,1p,15890,2,300M,300M,1.4k,5m,6n,1.2µ,,6m,8,12,$3.21000 (AD8056ARMZ),31mm² (8-Lead SOIC) (AD8056ARZ-REEL),"8-Lead PDIP,8-Lead SOIC,8-Lead MSOP"
LT1497,2p,20,2,,59M,900,15m,3n,,,6m,4,36,$6.28500 (LT1497CS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1497CS8#PBF),"16-Lead SOIC (Narrow 0.15 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
MAX4012,1.3p,8619,1,,200M,600,20m,10n,20µ,Output,5.5m,3.15,11,$2.41000 (MAX4012EUK+T),9mm² (5-SOT_23-N/A) (MAX4012EUK+),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A"
MAX4016,1.3p,3579,2,,150M,600,20m,10n,20µ,Output,5.5m,3.15,11,$2.10000 (MAX4016EUA+),"15.593mm² (Micro-MAX, Thin Shrink Small-Outline) (MAX4016EUA+T)","Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4018,1.3p,6541,3,,150M,600,20m,10n,20µ,Output,5.5m,3.15,11,$3.25000 (MAX4018EEE+T),30.876mm² (16-QSOP-150_MIL) (MAX4018EEE+T),"16-QSOP-150_MIL,Small-Outline IC, Narrow (0.15in)"
MAX4020,1.3p,2339,4,,150M,600,20m,10n,20µ,Output,5.5m,3.15,11,$3.70000 (MAX4020ESD+T),30.876mm² (16-QSOP-150_MIL) (MAX4020EEE+),"16-QSOP-150_MIL,Small-Outline IC, Narrow (0.15in)"
MAX4225,3p,12608,2,,1G,1.1k,5m,2n,10µ,,6m,5.7,11,$3.27000 (MAX4225ESA+),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4225ESA+)","Small-Outline IC, Narrow (0.15in)"
MAX4226,3p,10000,2,,1G,1.1k,5m,2n,10µ,,6m,5.7,11,$3.46000 (MAX4226EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4226EUB+T),10-MINI_SO-N/A
MAX4228,3p,3074,2,,600M,1.7k,5m,2n,10µ,,6m,5.7,11,$3.42000 (MAX4228EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4228EUB+),10-MINI_SO-N/A
LT1219L,90f,0,1,150k,,50m,90µ,33n,70n,Both,370µ,2,16,$5.65500 (LT1219LCS8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1219LCS8#TRPBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1467L,50f,0,4,120k,,40m,390µ,45n,14n,Both,60µ,2,16,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1467LCS#PBF),16-Lead SOIC (Narrow 0.15 Inch)
LT1492,140f,17668,2,4.5M,,1.8,180µ,16.5n,100n,In to V-,425µ,2.1,36,$5.53500 (LT1492CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1492CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
LT1493,140f,0,4,4.5M,,1.8,130µ,16.5n,100n,In to V-,425µ,2.1,36,,61.97mm² (16-Lead SOIC (Narrow 0.15 Inch)) (LT1493CS#TRPBF),16-Lead SOIC (Narrow 0.15 Inch)
LT1496,10f,384,4,2.7k,,1m,375µ,185n,1n,Both,1µ,2.1,36,$6.00000 (LT1496CN#PBF),54.14939mm² (14-Lead SOIC (Narrow 0.15 Inch)) (LT1496CS#PBF),"14-Lead PDIP (Narrow 0.3 Inch),14-Lead SOIC (Narrow 0.15 Inch)"
LT1635,50f,2248,1,175k,,45m,1.3m,50n,4.5n,"In to V-, Output",130µ,1.1,14,$3.22500 (LT1635CN8#PBF),31.00979mm² (8-Lead SOIC (Narrow 0.15 Inch)) (LT1635CS8#PBF),"8-Lead PDIP (Narrow 0.3 Inch),8-Lead SOIC (Narrow 0.15 Inch)"
MAX4162,,1211,1,,200k,115m,3m,80n,100p,Both,25µ,2.5,10,$2.00000 (MAX4162ESA+),9mm² (5-SOT_23-N/A) (MAX4162EUK+),"Small-Outline IC, Narrow (0.15in),5-SOT_23-N/A"
MAX4163,,1,2,,200k,115m,4m,80n,100p,Both,25µ,2.5,10,$2.30000 (MAX4163ESA+),2.7225mm² (9-WLCSP-N/A) (MAX4163EBL+),"9-WLCSP-N/A,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4165,400f,4,1,,5M,2,850µ,26n,150n,Both,1.3m,2.7,6.5,$2.03000 (MAX4165EUK+T),9mm² (5-SOT_23-N/A) (MAX4165EUK+T),5-SOT_23-N/A
MAX4166,400f,3285,1,,5M,2,850µ,26n,150n,Both,1.3m,2.7,6.5,$1.78000 (MAX4166ESA+),4.2025mm² (8-LFCSP-2X2X0.75) (MAX4166ELA+),"8-LFCSP-2X2X0.75,Small-Outline IC, Narrow (0.15in),Micro-MAX, Thin Shrink Small-Outline"
MAX4167,400f,3927,2,,5M,2,850µ,26n,150n,Both,1.3m,2.7,6.5,$2.09000 (MAX4167ESA+T),"31mm² (Small-Outline IC, Narrow (0.15in)) (MAX4167ESA+)","Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in)"
MAX4168,400f,979,2,,5M,2,850µ,26n,150n,Both,1.3m,2.7,6.5,$2.30000 (MAX4168ESD+),15.4025mm² (10-MINI_SO-N/A) (MAX4168EUB+T),"Plastic Dual-In-Line, Narrow (0.3in),Small-Outline IC, Narrow (0.15in),10-MINI_SO-N/A"
