Part Number,Current Noise Density (typ),Analog.com Inventory,# of Amps,GBP (typ),BW -3 dB (typ),Slew Rate (typ),Vos (max),VNoise Density (typ),Ibias (max),Rail to Rail,Iq/Amp (typ),Vs span (min),Vs span (max),1ku List Price,Package Area,Package
,A/rtHz,,,Hz,Hz,V/us,V,V/rtHz,A,,A,V,V,$ US,mm²,
LTC2055,,12219,2,500k,,500m,3µ,85n,150p,"In to V-, Output",130µ,2.7,6,$2.94000 (LTC2055CMS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC2055CDD#PBF),"8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LTC2055HV,,12219,2,500k,,500m,3µ,85n,150p,"In to V-, Output",150µ,2.7,11,$2.94000 (LTC2055CMS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LTC2055CDD#PBF),"8-Lead MSOP,8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
AD8616,50f,5173,2,24M,,12,60µ,7n,1p,Both,1.7m,2.7,5.5,$2.37000 (AD8616ARZ),31mm² (8-Lead SOIC) (AD8616ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
AD8672,300f,32878,2,10M,,4,75µ,2.8n,12n,,3m,8,36,$3.28500 (AD8672ARZ-REEL7),31mm² (8-Lead SOIC) (AD8672ARZ-REEL),"8-Lead SOIC,8-Lead MSOP"
AD8674,300f,9928,4,10M,,4,75µ,2.8n,12n,,3m,8,36,$6.22500 (AD8674ARZ-REEL),32.64mm² (14-Lead TSSOP) (AD8674ARUZ),"14-Lead SOIC,14-Lead TSSOP"
LT6014,150f,116,2,1.6M,,200m,60µ,9.5n,400p,Output,145µ,2.7,40,$3.28500 (LT6014CS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6014AIDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
MAX4037,,15268,1,,4k,400µ,2m,500n,10p,Output Only,1.9µ,1.4,3.6,$1.22000 (MAX4037EUT+T),9mm² (6-SOT_23-N/A) (MAX4037EUT+),6-SOT_23-N/A
MAX4038,,17125,2,,4k,400µ,2m,500n,10p,Output Only,800n,1.4,3.6,$1.44000 (MAX4038EBL+T),"9.61mm² (Thin Dual Flatpack No Leads, Exposed Pad) (MAX4038ETA+)","9-WLCSP-N/A,Thin Dual Flatpack No Leads, Exposed Pad,Micro-MAX, Thin Shrink Small-Outline"
MAX4039,,4983,2,,4k,400µ,2m,500n,10p,Output Only,1.4µ,1.4,3.6,$1.63000 (MAX4039EUB+),15.4025mm² (10-MINI_SO-N/A) (MAX4039EUB+),"9-WLCSP-N/A,10-MINI_SO-N/A"
AD8040,1.1p,4366,4,45M,125M,62,5m,16.5n,2.8µ,Both,1.4m,2.7,12,$3.07500 (AD8040ARUZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8040ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8099,2.6p,46382,1,3.8G,510M,470,500µ,950p,13µ,,15m,5,12,$3.72000 (AD8099ACPZ-REEL),9mm² (8-Lead LFCSP (3mm x 3mm w/ EP)) (AD8099ACPZ-REEL7),"8-Lead LFCSP (3mm x 3mm w/ EP),8-Lead SOIC w/ EP"
AD8513,10f,9919,4,8M,,20,400µ,7.6n,80p,,2.5m,9,30,$7.20000 (AD8513ARUZ),32.64mm² (14-Lead TSSOP) (AD8513ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8607,50f,2458,2,316k,,100m,300µ,22n,1p,Both,50µ,1.8,5,$2.13000 (AD8607ARZ-REEL),31mm² (8-Lead SOIC) (AD8607ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8609,50f,1705,4,316k,,100m,300µ,22n,1p,Both,40µ,1.8,5,$3.72000 (AD8609ARZ-REEL7),32.64mm² (14-Lead TSSOP) (AD8609ARUZ-REEL),"14-Lead SOIC,14-Lead TSSOP"
AD8625,400a,2790,4,5M,,5,750µ,16n,1p,"In to V-, Output",850µ,5,26,$8.04000 (AD8625ARUZ-REEL),32.64mm² (14-Lead TSSOP) (AD8625ARUZ),"14-Lead SOIC,14-Lead TSSOP"
AD8626,400a,23346,2,5M,,5,750µ,16n,1p,"In to V-, Output",850µ,5,26,$4.83000 (AD8626ARMZ-REEL),31mm² (8-Lead SOIC) (AD8626ARZ),"8-Lead SOIC,8-Lead MSOP"
AD8651,4f,5873,1,50M,50M,41,350µ,4.5n,10p,Both,9m,2.7,5.5,$2.26500 (AD8651ARMZ),31mm² (8-Lead SOIC) (AD8651ARZ),"8-Lead SOIC,8-Lead MSOP"
LT6010,100f,667,1,330k,,90m,35µ,14n,110p,Output,135µ,2.7,40,$2.23500 (LT6010CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6010ACDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6205,4p,463,1,100M,,600,4.5m,9n,30µ,"In to V-, Output",4m,3,12.6,$1.59000 (LT6205CS5#TRPBF),8.12mm² (5-Lead TSOT-23) (LT6205IS5#TRMPBF),5-Lead TSOT-23
LT6207,4p,124,4,100M,,600,4.5m,9n,30µ,"In to V-, Output",4m,3,12.6,$2.83500 (LT6207CGN#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6207IGN#PBF),16-Lead SSOP (Narrow 0.15 Inch)
LT6230,1p,5,1,215M,,70,500µ,1.1n,10µ,Output,3.3m,3,12.6,$2.25000 (LT6230CS6#TRMPBF),8.12mm² (6-Lead TSOT-23) (LT6230CS6#TRPBF),6-Lead TSOT-23
LT6230-10,1p,5,1,1.45G,,250,500µ,1.1n,10µ,Output,3.3m,3,12.6,$2.25000 (LT6230CS6#TRMPBF),8.12mm² (6-Lead TSOT-23) (LT6230CS6#TRPBF),6-Lead TSOT-23
LT6231,1p,1359,2,215M,,70,350µ,1.1n,10µ,Output,3.3m,3,12.6,$3.54000 (LT6231CS8#TRPBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6231CDD#PBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6232,1p,232,4,215M,,70,350µ,1.1n,10µ,Output,3.3m,3,12.6,$5.94000 (LT6232CGN#TRPBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6232CGN#TRPBF),16-Lead SSOP (Narrow 0.15 Inch)
LT6233,430f,3351,1,60M,,15,500µ,1.9n,3µ,Output,1.15m,3,12.6,$2.59500 (LT6233CS6#TRPBF),8.12mm² (6-Lead TSOT-23) (LT6233CS6-10#TRMPBF),6-Lead TSOT-23
LT6233-10,430f,3351,1,375M,,80,500µ,1.9n,3µ,Output,1.15m,3,12.6,$2.59500 (LT6233CS6#TRPBF),8.12mm² (6-Lead TSOT-23) (LT6233CS6-10#TRMPBF),6-Lead TSOT-23
LT6234,430f,872,2,60M,,17,350µ,1.9n,3µ,Output,1.15m,3,12.6,$4.42500 (LT6234CS8#PBF),9mm² (8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)) (LT6234CDD#TRPBF),"8-Lead SOIC (Narrow 0.15 Inch),8-Lead DFN (3mm x 3mm x 0.75mm w/ EP)"
LT6235,430f,485,4,60M,,17,350µ,1.9n,3µ,Output,1.15m,3,12.6,$7.42500 (LT6235CGN#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6235CGN#PBF),16-Lead SSOP (Narrow 0.15 Inch)
LT6553,4p,500,3,650M,,2.5k,10m,9n,50µ,,8m,4,13.2,$4.53000 (LT6553CGN#PBF),30.85364mm² (16-Lead SSOP (Narrow 0.15 Inch)) (LT6553CGN#PBF),16-Lead SSOP (Narrow 0.15 Inch)
AD8028,1.6p,9795,2,190M,190M,100,900µ,4.3n,11µ,Both,6.5m,2.7,12,$3.64500 (AD8028ARZ),15.965mm² (10-Lead MSOP) (AD8028WARMZ-R7),"CHIPS OR DIE,8-Lead SOIC,10-Lead MSOP"
AD8029,1.1p,1026,1,45M,125M,63,5m,16.5n,2.8µ,Both,1.4m,2.7,12,$1.53000 (AD8029AKSZ-REEL7),5.28mm² (6-Lead SC70) (AD8029AKSZ-REEL),"6-Lead SC70,8-Lead SOIC"
AD8030,1.1p,2338,2,45M,125M,63,5m,16.5n,2.8µ,Both,1.4m,2.7,12,$2.13000 (AD8030ARJZ-REEL7),9mm² (8-Lead SOT-23) (AD8030ARJZ-REEL7),"8-Lead SOIC,8-Lead SOT-23"
AD8603,50f,1454,1,316k,,100m,300µ,22n,1p,Both,50µ,1.8,5,$1.35256 (AD8603AUJZ-REEL),8.12mm² (5-Lead TSOT) (AD8603AUJZ-REEL),5-Lead TSOT
AD8671,300f,6419,1,10M,,4,75µ,2.8n,12n,,3m,8,36,$2.11500 (AD8671ARMZ),31mm² (8-Lead SOIC) (AD8671ARZ),"8-Lead SOIC,8-Lead MSOP"
